id	category
M85.0	M00-M99
A18.01	A00-B99
L40.1	L00-L99
Q70	Q00-Q99
C86.5	C00-D49
L51.2	L00-L99
C46.5	C00-D49
H10.4	H00-H59
N15.0	N00-N99
E78.71	E00-E89
N11.8	N00-N99
E27.0	E00-E89
F98.8	F01-F99
K22.3	K00-K95
L50.2	L00-L99
H02.53	H00-H59
H16.21	H00-H59
B75	A00-B99
A81.2	A00-B99
G24.2	G00-G99
D72.110	C00-D49
G43.8	G00-G99
H21.54	H00-H59
L60.5	L00-L99
H34	H00-H59
Q23.2	Q00-Q99
L56.2	L00-L99
Q96	Q00-Q99
O88.1	O00-O9A
B68.1	A00-B99
A92.3	A00-B99
A06.4	A00-B99
K04.6	K00-K95
H34.81	H00-H59
G40.8	G00-G99
R48.1	R00-R99
Q24.0	Q00-Q99
L13.0	L00-L99
C96.A	C00-D49
E71.120	E00-E89
K83.09	K00-K95
I27.22	I00-I99
B67.4	A00-B99
H44.12	H00-H59
E83.110	E00-E89
H35.06	H00-H59
B85.3	A00-B99
Q20.3	Q00-Q99
M12.9	M00-M99
R82.991	R00-R99
J84.112	J00-J99
K02.6	K00-K95
J84.116	J00-J99
M86.2	M00-M99
H53.45	H00-H59
B83.8	A00-B99
J15.0	J00-J99
F95	F01-F99
K85.0	K00-K95
Q78.4	Q00-Q99
J93.12	J00-J99
D86.0	C00-D49
B78.0	A00-B99
I50.83	I00-I99
D72.819	C00-D49
E85.81	E00-E89
A18.85	A00-B99
G40.81	G00-G99
H57.04	H00-H59
H53.14	H00-H59
H47.32	H00-H59
E22.8	E00-E89
M86.3	M00-M99
A18.4	A00-B99
N48.0	N00-N99
N47.1	N00-N99
D81.810	C00-D49
B83.1	A00-B99
H50.5	H00-H59
B66.1	A00-B99
B38.7	A00-B99
A52.11	A00-B99
H52.0	H00-H59
K04.02	K00-K95
E72.12	E00-E89
H93.A	H60-H95
G40.82	G00-G99
Q04.3	Q00-Q99
E70.331	E00-E89
G37.2	G00-G99
H35.02	H00-H59
H33.05	H00-H59
H47.01	H00-H59
E71.312	E00-E89
C64	C00-D49
A22.0	A00-B99
D89.81	C00-D49
A48.0	A00-B99
M46.4	M00-M99
K59.09	K00-K95
Q82.5	Q00-Q99
Q79.1	Q00-Q99
K62.7	K00-K95
I73.1	I00-I99
M71.9	M00-M99
G31.84	G00-G99
G31.01	G00-G99
N50.81	N00-N99
D69.41	C00-D49
Q25.45	Q00-Q99
L41.0	L00-L99
B02.21	A00-B99
E71.311	E00-E89
D59.12	C00-D49
A59	A00-B99
L95.0	L00-L99
A82	A00-B99
H35.71	H00-H59
I47.9	I00-I99
L95.1	L00-L99
M11.0	M00-M99
Q13.8	Q00-Q99
I50.2	I00-I99
D75.0	C00-D49
G31.83	G00-G99
C10.8	C00-D49
E83.81	E00-E89
E27.49	E00-E89
A77.1	A00-B99
H53.41	H00-H59
H70.22	H60-H95
M72.9	M00-M99
Q25.6	Q00-Q99
I27.24	I00-I99
D81.32	C00-D49
D72.12	C00-D49
Q87.0	Q00-Q99
H40.05	H00-H59
D68.51	C00-D49
H47.61	H00-H59
J05.10	J00-J99
U07.1	U00-U85
G91.2	G00-G99
J12.81	J00-J99
H31.02	H00-H59
D89.83	C00-D49
E74.29	E00-E89
H16.12	H00-H59
O00	O00-O9A
B08.3	A00-B99
M35.3	M00-M99
E80.21	E00-E89
H52.31	H00-H59
H80.80	H60-H95
H11.44	H00-H59
K86.81	K00-K95
G90.01	G00-G99
H15.03	H00-H59
B73	A00-B99
K59.39	K00-K95
A30.5	A00-B99
M48.061	M00-M99
R82.992	R00-R99
H05.20	H00-H59
K31.84	K00-K95
R73.03	R00-R99
E80.29	E00-E89
H18.20	H00-H59
H35.30	H00-H59
K12.3	K00-K95
E20.1	E00-E89
J43.1	J00-J99
A98.5	A00-B99
A18.09	A00-B99
Q38.2	Q00-Q99
E71.313	E00-E89
H20.81	H00-H59
A35	A00-B99
H53.01	H00-H59
L10.1	L00-L99
D64.4	C00-D49
K55.3	K00-K95
E83.01	E00-E89
G96.191	G00-G99
B03	A00-B99
C45.1	C00-D49
B81.0	A00-B99
Q84.3	Q00-Q99
K72.91	K00-K95
E30.1	E00-E89
B74	A00-B99
R82.0	R00-R99
N45.2	N00-N99
G93.81	G00-G99
B88.3	A00-B99
K62.89	K00-K95
J84.89	J00-J99
A30	A00-B99
E88.09	E00-E89
B81.3	A00-B99
Q87.81	Q00-Q99
D47.Z2	C00-D49
H57.05	H00-H59
H16.30	H00-H59
Q85.89	Q00-Q99
N45.3	N00-N99
O41.12	O00-O9A
D72.823	C00-D49
H05.11	H00-H59
B60.0	A00-B99
P91.2	P00-P96
I73.89	I00-I99
Q56.3	Q00-Q99
Q75.3	Q00-Q99
D89.811	C00-D49
K11.7	K00-K95
D47.02	C00-D49
O90.5	O00-O9A
E70.3	E00-E89
H44.11	H00-H59
P91.6	P00-P96
H11.82	H00-H59
O43.02	O00-O9A
G71.11	G00-G99
H40.21	H00-H59
P57	P00-P96
I73.81	I00-I99
H47.03	H00-H59
H27.11	H00-H59
C49.A	C00-D49
H44.51	H00-H59
B74.0	A00-B99
H34.23	H00-H59
P59.9	P00-P96
Q87.89	Q00-Q99
A50.5	A00-B99
H44.52	H00-H59
O14.2	O00-O9A
K00.2	K00-K95
H16.42	H00-H59
H18.44	H00-H59
J93.11	J00-J99
J84.114	J00-J99
Q56.4	Q00-Q99
G12.21	G00-G99
L70.2	L00-L99
J09.X	J00-J99
J84.01	J00-J99
H44.13	H00-H59
H49.81	H00-H59
E70.29	E00-E89
R82.998	R00-R99
T79.A0	S00-T88
E31.21	E00-E89
H20.05	H00-H59
H35.32	H00-H59
K06.01	K00-K95
Q93.82	Q00-Q99
Q76.41	Q00-Q99
G40.42	G00-G99
Q10.1	Q00-Q99
H21.25	H00-H59
J98.09	J00-J99
H57.81	H00-H59
H53.13	H00-H59
D68.04	C00-D49
H52.32	H00-H59
H35.81	H00-H59
A92.5	A00-B99
D3A.8	C00-D49
N70.91	N00-N99
D68.311	C00-D49
N44.02	N00-N99
Q92.2	Q00-Q99
Q90	Q00-Q99
H18.52	H00-H59
R91.1	R00-R99
P78.3	P00-P96
H18.42	H00-H59
B43.9	A00-B99
H47.21	H00-H59
P28.5	P00-P96
C88.9	C00-D49
Q14.2	Q00-Q99
E72.23	E00-E89
E27.40	E00-E89
E85.82	E00-E89
H31.21	H00-H59
M65.31	M00-M99
F80.81	F01-F99
B30.0	A00-B99
K02	K00-K95
P59.29	P00-P96
G61.81	G00-G99
B42	A00-B99
P55	P00-P96
C94.2	C00-D49
C95.00	C00-D49
B45.7	A00-B99
G70.80	G00-G99
Q85.0	Q00-Q99
H44.53	H00-H59
R80.3	R00-R99
O43.21	O00-O9A
H55.01	H00-H59
H04.30	H00-H59
A21	A00-B99
E34.52	E00-E89
B72	A00-B99
B76.1	A00-B99
R82.71	R00-R99
H46.1	H00-H59
I49.02	I00-I99
O43.23	O00-O9A
Q51.2	Q00-Q99
H53.03	H00-H59
H01.0	H00-H59
A18.17	A00-B99
H47.11	H00-H59
B26.0	A00-B99
N46.1	N00-N99
H33.10	H00-H59
G04	G00-G99
D61.82	C00-D49
H51.11	H00-H59
A02.21	A00-B99
M53.3	M00-M99
E71.522	E00-E89
Q66.89	Q00-Q99
E76.29	E00-E89
J44.1	J00-J99
Q26.3	Q00-Q99
H21.51	H00-H59
E75.22	E00-E89
H16.32	H00-H59
H20.01	H00-H59
Q00.0	Q00-Q99
K21.00	K00-K95
A07.3	A00-B99
H43.82	H00-H59
G31.85	G00-G99
H53.51	H00-H59
B87	A00-B99
A69.0	A00-B99
B60.8	A00-B99
L90.0	L00-L99
O41.14	O00-O9A
N50.82	N00-N99
D72.810	C00-D49
G51.4	G00-G99
E83.41	E00-E89
A30.1	A00-B99
I49.49	I00-I99
I77.81	I00-I99
L56.5	L00-L99
P29.3	P00-P96
N42.83	N00-N99
N41.9	N00-N99
D47.09	C00-D49
G21.0	G00-G99
H50.43	H00-H59
F45.0	F01-F99
D69.51	C00-D49
R82.993	R00-R99
Q10.2	Q00-Q99
E80.20	E00-E89
G71.8	G00-G99
H05.02	H00-H59
E79.1	E00-E89
D70.0	C00-D49
Q13.81	Q00-Q99
Q80.2	Q00-Q99
R48.3	R00-R99
G31.81	G00-G99
G31.82	G00-G99
N76.2	N00-N99
B74.8	A00-B99
N36.42	N00-N99
H26.41	H00-H59
H02.59	H00-H59
A77.4	A00-B99
L65.0	L00-L99
L25.9	L00-L99
R73.02	R00-R99
H81.2	H60-H95
P78.0	P00-P96
Q89.01	Q00-Q99
B74.3	A00-B99
E75.25	E00-E89
E84.11	E00-E89
P96.1	P00-P96
G93.41	G00-G99
E75.26	E00-E89
Q80.1	Q00-Q99
P91.82	P00-P96
D61.09	C00-D49
M92.8	M00-M99
Q85.01	Q00-Q99
A43	A00-B99
O43.89	O00-O9A
B48.0	A00-B99
H04.41	H00-H59
B33.23	A00-B99
Q41.1	Q00-Q99
B08.2	A00-B99
G71.19	G00-G99
B41	A00-B99
N70.11	N00-N99
B66.0	A00-B99
K76.89	K00-K95
P37.0	P00-P96
Q12.4	Q00-Q99
Q85.83	Q00-Q99
Q78.1	Q00-Q99
N34.2	N00-N99
E75.6	E00-E89
M54.81	M00-M99
H02.52	H00-H59
J31.0	J00-J99
Q88	Q00-Q99
Q04.6	Q00-Q99
F45.22	F01-F99
Q64.10	Q00-Q99
N83.52	N00-N99
A43.0	A00-B99
N28.81	N00-N99
G51.2	G00-G99
Q18.6	Q00-Q99
A93.1	A00-B99
Q87.19	Q00-Q99
H52.51	H00-H59
A22	A00-B99
B08.010	A00-B99
H10.44	H00-H59
L81.3	L00-L99
K52.81	K00-K95
B08.02	A00-B99
G47.41	G00-G99
P39.1	P00-P96
A24.0	A00-B99
E83.32	E00-E89
I95.89	I00-I99
D72.11	C00-D49
E71.110	E00-E89
Q26.2	Q00-Q99
H53.12	H00-H59
Q87.11	Q00-Q99
N45.1	N00-N99
G43.A	G00-G99
E74.01	E00-E89
Q25.47	Q00-Q99
H44.01	H00-H59
G95.81	G00-G99
L94.2	L00-L99
E71.0	E00-E89
H11.23	H00-H59
H05.4	H00-H59
I27.21	I00-I99
M34.1	M00-M99
N94.12	N00-N99
O90.89	O00-O9A
E76.3	E00-E89
H30.2	H00-H59
H18.71	H00-H59
J93.0	J00-J99
Q24.2	Q00-Q99
K52.832	K00-K95
Q13.5	Q00-Q99
J93.82	J00-J99
L90.5	L00-L99
K92.81	K00-K95
F11.2	F01-F99
M32.12	M00-M99
Q93.81	Q00-Q99
H53.62	H00-H59
E72.01	E00-E89
A79.82	A00-B99
Q79.63	Q00-Q99
H16.14	H00-H59
G43.0	G00-G99
E28.0	E00-E89
A98.4	A00-B99
L12.0	L00-L99
K52.3	K00-K95
N70.92	N00-N99
H15.05	H00-H59
M35.6	M00-M99
Q13.4	Q00-Q99
H18.72	H00-H59
H15.83	H00-H59
A92.0	A00-B99
H60.2	H60-H95
D68.52	C00-D49
F84.2	F01-F99
B42.7	A00-B99
C91.1	C00-D49
G96.81	G00-G99
M27.1	M00-M99
K59.04	K00-K95
A81.83	A00-B99
B81.1	A00-B99
R82.81	R00-R99
H47.22	H00-H59
B50.0	A00-B99
K06.1	K00-K95
L98.1	L00-L99
L40.52	L00-L99
E72.3	E00-E89
D81.30	C00-D49
N64.52	N00-N99
B27.0	A00-B99
A77.9	A00-B99
D84.9	C00-D49
E72.52	E00-E89
L75.0	L00-L99
C26.9	C00-D49
Q28.3	Q00-Q99
G95.89	G00-G99
A52.3	A00-B99
H16.33	H00-H59
N60.4	N00-N99
P29.30	P00-P96
E70.31	E00-E89
M35.81	M00-M99
G71.22	G00-G99
E76.219	E00-E89
B08.04	A00-B99
H53.02	H00-H59
I24.1	I00-I99
J84.10	J00-J99
N41.4	N00-N99
G11.3	G00-G99
A49.01	A00-B99
